config,cell,auc,inter_drug_r
loss-only,A549,0.5833333333333334,0.9904766574427661
loss-only,K562,0.5416666666666666,0.9961419801708481
loss-only,MCF7,0.5833333333333334,0.9865117677026577
drug-spec x1,A549,0.5555555555555556,0.9847607677234542
drug-spec x1,K562,0.5138888888888888,0.9901751449458381
drug-spec x1,MCF7,0.5833333333333334,0.985816344743104
drug-spec x3,A549,0.5,0.999057045393769
drug-spec x3,K562,0.5138888888888888,0.9990916626790709
drug-spec x3,MCF7,0.5277777777777778,0.9979572042352992
drug-spec x5,A549,0.5694444444444444,0.9939817615223873
drug-spec x5,K562,0.5138888888888888,0.9975403270051745
drug-spec x5,MCF7,0.5277777777777778,0.9935713071393926
low recon,A549,0.6388888888888888,0.9924438835516673
low recon,K562,0.5416666666666666,0.9940515479054456
low recon,MCF7,0.5555555555555556,0.9931630949575952
norm-only,A549,0.6388888888888888,0.9882096493191541
norm-only,K562,0.4722222222222222,0.9959246221448608
norm-only,MCF7,0.6388888888888888,0.9929382300284328
recovery base,A549,0.6111111111111112,0.9871896903321217
recovery base,K562,0.4722222222222222,0.9954284594091436
recovery base,MCF7,0.5833333333333334,0.9927046738487305
