config,top_k,metric,auc,gap,on_diag
loss-only,20,pearson,0.5601851851851852,0.037463177930858196,0.11117650524663761
loss-only,20,spearman,0.5416666666666666,0.03624118252978203,0.13392517339378712
loss-only,50,pearson,0.5694444444444444,0.035795121819299475,0.09212702613396244
loss-only,50,spearman,0.5555555555555556,0.03497984797178869,0.10175673090024244
loss-only,100,pearson,0.5787037037037037,0.034946451941931835,0.07523666232755062
loss-only,100,spearman,0.5787037037037037,0.03016724824135117,0.059604587050587014
loss-only,all,pearson,0.5231481481481481,0.025920466349458802,0.01932356219792518
loss-only,all,spearman,0.7129629629629629,0.12456656106060117,0.11340973477444674
drug-spec x1,20,pearson,0.5416666666666666,0.0405823265122176,0.15523028585355073
drug-spec x1,20,spearman,0.5509259259259259,0.033469264451659396,0.1434377784018112
drug-spec x1,50,pearson,0.5509259259259259,0.036352969317595595,0.10284605950524943
drug-spec x1,50,spearman,0.5416666666666666,0.03382288025522967,0.10494883232417561
drug-spec x1,100,pearson,0.5740740740740741,0.03519702436239497,0.08231891988018653
drug-spec x1,100,spearman,0.5694444444444444,0.03311054372208242,0.07707288785113846
drug-spec x1,all,pearson,0.5277777777777778,0.028734458029225054,0.023445219228083843
drug-spec x1,all,spearman,0.7407407407407407,0.12181732822492417,0.11557195839372957
drug-spec x3,20,pearson,0.5046296296296297,0.008855207273765429,0.08748353313175798
drug-spec x3,20,spearman,0.5,0.008534600130610411,0.11239519580416249
drug-spec x3,50,pearson,0.5138888888888888,0.00987739414544918,0.07613025305067928
drug-spec x3,50,spearman,0.5092592592592593,0.01068852100174236,0.09596783905589718
drug-spec x3,100,pearson,0.5138888888888888,0.010492453021592388,0.0664215267287849
drug-spec x3,100,spearman,0.5138888888888888,0.010847241511278723,0.0783059903689714
drug-spec x3,all,pearson,0.5,0.009168232821775939,0.020753936756143627
drug-spec x3,all,spearman,0.7731481481481481,0.12634461048789347,0.12831908661704214
drug-spec x5,20,pearson,0.5416666666666666,0.030260784330369026,0.09241121864343808
drug-spec x5,20,spearman,0.5740740740740741,0.03502628948914185,0.11403600027186932
drug-spec x5,50,pearson,0.5370370370370371,0.027018137341720698,0.06218276922521148
drug-spec x5,50,spearman,0.5324074074074074,0.029516948506672566,0.0735644887947143
drug-spec x5,100,pearson,0.5370370370370371,0.025647591209621796,0.044808802746199146
drug-spec x5,100,spearman,0.5324074074074074,0.025353003728365152,0.043916095402649125
drug-spec x5,all,pearson,0.5277777777777778,0.02056378227664874,0.005961823813079915
drug-spec x5,all,spearman,0.7777777777777778,0.12749002309494684,0.12489570432805426
low recon,20,pearson,0.5925925925925926,0.03745932959607107,0.07013860271587118
low recon,20,spearman,0.5277777777777778,0.028279735765871776,0.09651465369110115
low recon,50,pearson,0.5787037037037037,0.031247158352638936,0.061798912348180385
low recon,50,spearman,0.5555555555555556,0.02728845888943247,0.07420717380967344
low recon,100,pearson,0.5740740740740741,0.02735862830862326,0.04931905451176644
low recon,100,spearman,0.5509259259259259,0.02265629752223486,0.03990049108233179
low recon,all,pearson,0.5092592592592593,0.013670375359138752,-0.00659787507667227
low recon,all,spearman,0.6620370370370371,0.11122502874134427,0.09904660860379334
norm-only,20,pearson,0.5648148148148148,0.03868434302574847,0.11222871427697277
norm-only,20,spearman,0.5046296296296297,0.029441100111133118,0.11288403843911256
norm-only,50,pearson,0.5833333333333334,0.033052362948572174,0.09473631046425196
norm-only,50,spearman,0.5787037037037037,0.027430024657137824,0.08806348083710099
norm-only,100,pearson,0.5509259259259259,0.0316540231770563,0.07882926445414115
norm-only,100,spearman,0.5324074074074074,0.023545274770996168,0.05367406877320859
norm-only,all,pearson,0.5,0.012511523539375721,0.003887796072595028
norm-only,all,spearman,0.6388888888888888,0.10031348702315344,0.09159047940599867
recovery base,20,pearson,0.5462962962962963,0.03477404652489024,0.07833585880918095
recovery base,20,spearman,0.5648148148148148,0.043690861867656056,0.11175200434592629
recovery base,50,pearson,0.5555555555555556,0.032530919445676085,0.06977643636169041
recovery base,50,spearman,0.5462962962962963,0.031098691319966003,0.0660648953263892
recovery base,100,pearson,0.5277777777777778,0.03115819684513935,0.058517710269386465
recovery base,100,spearman,0.5231481481481481,0.02314689844095408,0.03218307041104165
recovery base,all,pearson,0.5,0.0134168737547998,-0.003971685541244472
recovery base,all,spearman,0.6388888888888888,0.09994143539372452,0.09074299961798664
