predictor,space,spearman50_ondiag,pearson50_ondiag,control_auc50,control_gap50,inter_drug_pearson,median_perpair_pearson50
loss-only,E6E7,0.1018,0.0921,0.5694,0.0358,0.991,
drug-spec x1,E6E7,0.1049,0.1028,0.5509,0.0364,0.9869,
drug-spec x3,E6E7,0.096,0.0761,0.5139,0.0099,0.9987,
drug-spec x5,E6E7,0.0736,0.0622,0.537,0.027,0.995,
low recon,E6E7,0.0742,0.0618,0.5787,0.0312,0.9932,
norm-only,E6E7,0.0881,0.0947,0.5833,0.0331,0.9924,
recovery base,E6E7,0.0661,0.0698,0.5556,0.0325,0.9918,
Mean (cell-line avg),E6E7,0.4021,0.4351,0.5,0.0,1.0,
Ridge (clean holdout),ridge_recon,0.331,0.3228,0.5093,0.0034,0.5562,0.2072
chemCPA (clean holdout),chemcpa_recon,0.0864,0.0568,0.5,-0.0,1.0,
