selection_rank,config_id,split,conditional_accuracy_drug_macro,pair_own_spearman_top50_drug_macro,selected_epoch
1,cytobridge_09,validation,0.8146135210990906,0.3121471107006073,1
2,cytobridge_07,validation,0.8115941882133484,0.30882108211517334,1
3,cytobridge_08,validation,0.8079710006713867,0.30227112770080566,1
4,cytobridge_05,validation,0.7964975833892822,0.36867907643318176,3
5,cytobridge_06,validation,0.7922705411911011,0.38128897547721863,2
6,cytobridge_04,validation,0.7765700221061707,0.3236309885978699,1
7,cytobridge_10,validation,0.7506038546562195,0.2751000225543976,6
8,cytobridge_11,validation,0.7276570200920105,0.26726284623146057,5
9,cytobridge_12,validation,0.6968598961830139,0.2006566971540451,1
10,cytobridge_03,validation,0.6902173757553101,0.3327573835849762,12
11,cytobridge_02,validation,0.6551932096481323,0.2918526530265808,2
12,cytobridge_01,validation,0.6473429799079895,0.30147504806518555,2
