index,gene_symbol,ensembl_id
0,KLHL13,ENSG00000003096
1,SLC7A2,ENSG00000003989
2,PDK4,ENSG00000004799
3,SLC4A1,ENSG00000004939
4,CALCR,ENSG00000004948
5,THSD7A,ENSG00000005108
6,ACSM3,ENSG00000005187
7,ST3GAL1,ENSG00000008513
8,CSDE1,ENSG00000009307
9,TENM1,ENSG00000009694
10,ETV7,ENSG00000010030
11,GPRC5A,ENSG00000013588
12,CNTN1,ENSG00000018236
13,CYP24A1,ENSG00000019186
14,NRXN3,ENSG00000021645
15,CPS1,ENSG00000021826
16,GRAMD1B,ENSG00000023171
17,BIRC3,ENSG00000023445
18,ABCC2,ENSG00000023839
19,ANK1,ENSG00000029534
20,FUT8,ENSG00000033170
21,TLL1,ENSG00000038295
22,VCAN,ENSG00000038427
23,CDH1,ENSG00000039068
24,MYO16,ENSG00000041515
25,CP,ENSG00000047457
26,ARHGAP6,ENSG00000047648
27,HDAC9,ENSG00000048052
28,CELF2,ENSG00000048740
29,FSTL4,ENSG00000053108
30,SYNE2,ENSG00000054654
31,ATP9A,ENSG00000054793
32,SLC2A3,ENSG00000059804
33,COL11A1,ENSG00000060718
34,VMP1,ENSG00000062716
35,APPBP2,ENSG00000062725
36,LIMCH1,ENSG00000064042
37,WISP2,ENSG00000064205
38,EYA2,ENSG00000064655
39,BCAS1,ENSG00000064787
40,FAM107B,ENSG00000065809
41,ASPM,ENSG00000066279
42,MPPED2,ENSG00000066382
43,NAV3,ENSG00000067798
44,PRR11,ENSG00000068489
45,MAST4,ENSG00000069020
46,FRMPD1,ENSG00000070601
47,MYO3B,ENSG00000071909
48,TRHDE,ENSG00000072657
49,SIDT1,ENSG00000072858
50,TP63,ENSG00000073282
51,LLGL2,ENSG00000073350
52,CLCN4,ENSG00000073464
53,PTGS2,ENSG00000073756
54,ST6GAL1,ENSG00000073849
55,CA12,ENSG00000074410
56,NTN4,ENSG00000074527
57,SEMA3C,ENSG00000075223
58,CACNG4,ENSG00000075461
59,ARHGAP15,ENSG00000075884
60,MCAM,ENSG00000076706
61,RUNX1T1,ENSG00000079102
62,EPHA6,ENSG00000080224
63,KCNN2,ENSG00000080709
64,MEF2C,ENSG00000081189
65,CADPS2,ENSG00000081803
66,PGR,ENSG00000082175
67,COBLL1,ENSG00000082438
68,GRHL2,ENSG00000083307
69,NKAIN1,ENSG00000084628
70,MECOM,ENSG00000085276
71,ABCB1,ENSG00000085563
72,AKR1B1,ENSG00000085662
73,CEACAM6,ENSG00000086548
74,AURKA,ENSG00000087586
75,TMEM40,ENSG00000088726
76,CHGB,ENSG00000089199
77,FXYD3,ENSG00000089356
78,POU4F3,ENSG00000091010
79,NRCAM,ENSG00000091129
80,NLRP1,ENSG00000091592
81,ESR1,ENSG00000091831
82,TGFB2,ENSG00000092969
83,KRT31,ENSG00000094796
84,SORBS1,ENSG00000095637
85,DSP,ENSG00000096696
86,PCSK5,ENSG00000099139
87,XBP1,ENSG00000100219
88,TIMP3,ENSG00000100234
89,HMOX1,ENSG00000100292
90,GZMB,ENSG00000100453
91,DAAM1,ENSG00000100592
92,DHRS2,ENSG00000100867
93,BMP7,ENSG00000101144
94,RAE1,ENSG00000101146
95,CHRNA4,ENSG00000101204
96,EEF1A2,ENSG00000101210
97,TIMP1,ENSG00000102265
98,KLHL4,ENSG00000102271
99,SGCG,ENSG00000102683
100,FLT1,ENSG00000102755
101,CENPT,ENSG00000102901
102,CBLN1,ENSG00000102924
103,CRYM,ENSG00000103316
104,CORO7-PAM16,ENSG00000103426
105,XYLT1,ENSG00000103489
106,ACSBG1,ENSG00000103740
107,CEMIP,ENSG00000103888
108,SCG3,ENSG00000104112
109,CA2,ENSG00000104267
110,EYA1,ENSG00000104313
111,CALB1,ENSG00000104327
112,PLAT,ENSG00000104368
113,DKK4,ENSG00000104371
114,TRPS1,ENSG00000104447
115,NCALD,ENSG00000104490
116,NEFM,ENSG00000104722
117,ADAM2,ENSG00000104755
118,TUBB4A,ENSG00000104833
119,CLC,ENSG00000105205
120,CEACAM5,ENSG00000105388
121,SIGLEC5,ENSG00000105501
122,PDE4C,ENSG00000105650
123,TFPI2,ENSG00000105825
124,TFEC,ENSG00000105967
125,CAV1,ENSG00000105974
126,CPED1,ENSG00000106034
127,EPHB6,ENSG00000106123
128,HSPB1,ENSG00000106211
129,SPAM1,ENSG00000106304
130,SERPINE1,ENSG00000106366
131,GLCCI1,ENSG00000106415
132,AGR2,ENSG00000106541
133,PTGR1,ENSG00000106853
134,DDX58,ENSG00000107201
135,GLIS3,ENSG00000107249
136,SHB,ENSG00000107338
137,GATA3,ENSG00000107485
138,ATRNL1,ENSG00000107518
139,DNMBP,ENSG00000107554
140,SORCS1,ENSG00000108018
141,UBTF,ENSG00000108312
142,TRIM37,ENSG00000108395
143,P2RX1,ENSG00000108405
144,TUBD1,ENSG00000108423
145,RPS6KB1,ENSG00000108443
146,ENO3,ENSG00000108515
147,CHRNE,ENSG00000108556
148,ALDH3A1,ENSG00000108602
149,ABCC3,ENSG00000108846
150,NMU,ENSG00000109255
151,AREG,ENSG00000109321
152,TBC1D9,ENSG00000109436
153,INPP4B,ENSG00000109452
154,CPE,ENSG00000109472
155,UGDH,ENSG00000109814
156,CCND1,ENSG00000110092
157,CALCA,ENSG00000110680
158,SOX6,ENSG00000110693
159,SYT10,ENSG00000110975
160,KRT18,ENSG00000111057
161,WNT5B,ENSG00000111186
162,OAS2,ENSG00000111335
163,MGP,ENSG00000111341
164,SLC38A1,ENSG00000111371
165,RERGL,ENSG00000111404
166,COL12A1,ENSG00000111799
167,RHAG,ENSG00000112077
168,BMP5,ENSG00000112175
169,BACH2,ENSG00000112182
170,PDE10A,ENSG00000112541
171,MRPL2,ENSG00000112651
172,HMGCS1,ENSG00000112972
173,PDE4D,ENSG00000113448
174,PRLR,ENSG00000113494
175,STC2,ENSG00000113739
176,FGF12,ENSG00000114279
177,ITGB6,ENSG00000115221
178,IFIH1,ENSG00000115267
179,FN1,ENSG00000115414
180,IGFBP5,ENSG00000115461
181,PLCL1,ENSG00000115896
182,AC087235.1,ENSG00000115934
183,WIPF1,ENSG00000115935
184,EPHA4,ENSG00000116106
185,KIAA1324,ENSG00000116299
186,C1orf21,ENSG00000116667
187,PRG4,ENSG00000116690
188,PLA2G4A,ENSG00000116711
189,AKT3,ENSG00000117020
190,MUC5B,ENSG00000117983
191,CTSD,ENSG00000117984
192,FILIP1,ENSG00000118407
193,RARRES1,ENSG00000118849
194,IRF2BPL,ENSG00000119669
195,BCL11A,ENSG00000119866
196,IFIT3,ENSG00000119917
197,IFIT2,ENSG00000119922
198,CCDC170,ENSG00000120262
199,PLXDC2,ENSG00000120594
200,TGFBI,ENSG00000120708
201,EPX,ENSG00000121053
202,TEX14,ENSG00000121101
203,TAS2R7,ENSG00000121377
204,PDZRN3,ENSG00000121440
205,UBL3,ENSG00000122042
206,PAEP,ENSG00000122133
207,INHBA,ENSG00000122641
208,DNAI1,ENSG00000122735
209,SFTPA1,ENSG00000122852
210,BICC1,ENSG00000122870
211,RASSF8,ENSG00000123094
212,NECAB1,ENSG00000123119
213,PREX1,ENSG00000124126
214,NCOA3,ENSG00000124151
215,SEMG2,ENSG00000124157
216,PARD6B,ENSG00000124171
217,PMEPA1,ENSG00000124225
218,BCAS4,ENSG00000124243
219,CDKN1A,ENSG00000124762
220,ATXN1,ENSG00000124788
221,MT1G,ENSG00000125144
222,PPDPF,ENSG00000125534
223,GPCPD1,ENSG00000125772
224,PCSK2,ENSG00000125851
225,AMOT,ENSG00000126016
226,IFI6,ENSG00000126709
227,DACH2,ENSG00000126733
228,HIVEP3,ENSG00000127124
229,GNGT1,ENSG00000127928
230,KRT17,ENSG00000128422
231,DOCK4,ENSG00000128512
232,VGF,ENSG00000128564
233,PODXL,ENSG00000128567
234,FOXP2,ENSG00000128573
235,HOXD10,ENSG00000128710
236,ALDH1A2,ENSG00000128918
237,MTUS1,ENSG00000129422
238,NXNL2,ENSG00000130045
239,COL5A1,ENSG00000130635
240,HBZ,ENSG00000130656
241,FBP2,ENSG00000130957
242,AKAP12,ENSG00000131016
243,LRRC4B,ENSG00000131409
244,TOP2A,ENSG00000131747
245,ARFIP2,ENSG00000132254
246,PTPRE,ENSG00000132334
247,H3F3B,ENSG00000132475
248,XAF1,ENSG00000132530
249,RGS22,ENSG00000132554
250,ATP8A2,ENSG00000132932
251,DCLK1,ENSG00000133083
252,STARD13,ENSG00000133121
253,IRS4,ENSG00000133124
254,LARGE1,ENSG00000133424
255,MYO18B,ENSG00000133454
256,NTS,ENSG00000133636
257,CA1,ENSG00000133742
258,COX16,ENSG00000133983
259,LOXL2,ENSG00000134013
260,VAV3,ENSG00000134215
261,RSAD2,ENSG00000134321
262,ELP2,ENSG00000134759
263,DTNA,ENSG00000134769
264,FHOD3,ENSG00000134775
265,TCN1,ENSG00000134827
266,FAM189A2,ENSG00000135063
267,OASL,ENSG00000135114
268,CD36,ENSG00000135218
269,KCP,ENSG00000135253
270,ADGRB3,ENSG00000135298
271,EPHA7,ENSG00000135333
272,CGA,ENSG00000135346
273,KRT7,ENSG00000135480
274,MDM2,ENSG00000135679
275,FAM129A,ENSG00000135842
276,PAX3,ENSG00000135903
277,TNS3,ENSG00000136205
278,C7orf69,ENSG00000136275
279,BRIP1,ENSG00000136492
280,GMPR,ENSG00000137198
281,CLPS,ENSG00000137392
282,SLCO2B1,ENSG00000137491
283,SYTL2,ENSG00000137501
284,SULF1,ENSG00000137573
285,DDX60,ENSG00000137628
286,RDX,ENSG00000137710
287,CASP1,ENSG00000137752
288,THBS1,ENSG00000137801
289,CYP1B1,ENSG00000138061
290,HECW2,ENSG00000138411
291,SSFA2,ENSG00000138434
292,CILP,ENSG00000138615
293,PARP16,ENSG00000138617
294,FAM13A,ENSG00000138640
295,HERC5,ENSG00000138646
296,NDST4,ENSG00000138653
297,RASGEF1B,ENSG00000138670
298,BMPR1B,ENSG00000138696
299,BMP2K,ENSG00000138756
300,CENPE,ENSG00000138778
301,FBN2,ENSG00000138829
302,ASCL1,ENSG00000139352
303,MDGA2,ENSG00000139915
304,SYT16,ENSG00000139973
305,IGF1R,ENSG00000140443
306,PIF1,ENSG00000140451
307,CYP11A1,ENSG00000140459
308,CYP1A1,ENSG00000140465
309,NTRK3,ENSG00000140538
310,NKD1,ENSG00000140807
311,RPL3L,ENSG00000140986
312,DPEP3,ENSG00000141096
313,BCAS3,ENSG00000141376
314,SLC39A6,ENSG00000141424
315,GREB1L,ENSG00000141449
316,CELSR2,ENSG00000143126
317,HMCN1,ENSG00000143341
318,SEMA6C,ENSG00000143434
319,REN,ENSG00000143839
320,PTPN7,ENSG00000143851
321,SYT2,ENSG00000143858
322,ST6GAL2,ENSG00000144057
323,AFF3,ENSG00000144218
324,SLC4A10,ENSG00000144290
325,ZNF385B,ENSG00000144331
326,PTH2R,ENSG00000144407
327,ABCA12,ENSG00000144452
328,MARCH4,ENSG00000144583
329,PTPRG,ENSG00000144724
330,IGSF11,ENSG00000144847
331,SLIT2,ENSG00000145147
332,GLRA3,ENSG00000145451
333,CDH18,ENSG00000145526
334,PIK3R1,ENSG00000145675
335,HAPLN1,ENSG00000145681
336,ADAMTS19,ENSG00000145808
337,ARHGAP26,ENSG00000145819
338,CXCL14,ENSG00000145824
339,DCDC2,ENSG00000146038
340,SLC22A3,ENSG00000146477
341,VWDE,ENSG00000146530
342,SDK1,ENSG00000146555
343,CREB5,ENSG00000146592
344,IGFBP3,ENSG00000146674
345,AC211486.1,ENSG00000146722
346,NXF3,ENSG00000147206
347,GPC3,ENSG00000147257
348,CSGALNACT1,ENSG00000147408
349,SLC25A37,ENSG00000147454
350,SNTG1,ENSG00000147481
351,DPYS,ENSG00000147647
352,ANKRD30A,ENSG00000148513
353,ANKRD1,ENSG00000148677
354,MKI67,ENSG00000148773
355,CYP17A1,ENSG00000148795
356,KIRREL3,ENSG00000149571
357,MMP3,ENSG00000149968
358,CNTN5,ENSG00000149972
359,ADGRL3,ENSG00000150471
360,DLG2,ENSG00000150672
361,CCDC83,ENSG00000150676
362,PPP1R1C,ENSG00000150722
363,FREM2,ENSG00000150893
364,CACNA1C,ENSG00000151067
365,BTBD11,ENSG00000151136
366,NPAS3,ENSG00000151322
367,AKR1C2,ENSG00000151632
368,SLC35F4,ENSG00000151812
369,GFRA1,ENSG00000151892
370,PTPRK,ENSG00000152894
371,PTPRD,ENSG00000153707
372,CACNA2D1,ENSG00000153956
373,HS3ST3A1,ENSG00000153976
374,SEMA3D,ENSG00000153993
375,CDH12,ENSG00000154162
376,PITPNC1,ENSG00000154217
377,ENPP3,ENSG00000154269
378,C4orf19,ENSG00000154274
379,TNIK,ENSG00000154310
380,PPP1R3A,ENSG00000154415
381,CNTNAP3B,ENSG00000154529
382,ADAMTS1,ENSG00000154734
383,PTPRN2,ENSG00000155093
384,SAMSN1,ENSG00000155307
385,TRIM74,ENSG00000155428
386,TTN,ENSG00000155657
387,SLC24A2,ENSG00000155886
388,GNA14,ENSG00000156049
389,MMP16,ENSG00000156103
390,ADAMTS3,ENSG00000156140
391,PPEF2,ENSG00000156194
392,TIAM1,ENSG00000156299
393,UNC5D,ENSG00000156687
394,ATAD2,ENSG00000156802
395,NRG1,ENSG00000157168
396,CACNA1D,ENSG00000157388
397,CACNA2D3,ENSG00000157445
398,MYO1E,ENSG00000157483
399,TMEM164,ENSG00000157600
400,DGKI,ENSG00000157680
401,UBXN11,ENSG00000158062
402,CLSTN2,ENSG00000158258
403,DNAH3,ENSG00000158486
404,STC1,ENSG00000159167
405,TFF3,ENSG00000160180
406,TFF1,ENSG00000160182
407,AZGP1,ENSG00000160862
408,COL26A1,ENSG00000160963
409,FBXL13,ENSG00000161040
410,JOSD2,ENSG00000161677
411,KRT82,ENSG00000161850
412,LAPTM5,ENSG00000162511
413,NTNG1,ENSG00000162631
414,BRINP3,ENSG00000162670
415,SLC9C2,ENSG00000162753
416,KCNJ3,ENSG00000162989
417,S100A9,ENSG00000163220
418,ALPPL2,ENSG00000163286
419,ANTXR2,ENSG00000163297
420,IGFBP7,ENSG00000163453
421,NEK10,ENSG00000163491
422,PSMD6,ENSG00000163636
423,ADAMTS9,ENSG00000163638
424,SMIM14,ENSG00000163683
425,APBB2,ENSG00000163697
426,PLB1,ENSG00000163803
427,NPY1R,ENSG00000164128
428,RHOBTB3,ENSG00000164292
429,GRIK2,ENSG00000164418
430,BMPER,ENSG00000164619
431,COL1A2,ENSG00000164692
432,DLC1,ENSG00000164741
433,ADCY1,ENSG00000164742
434,TNFRSF11B,ENSG00000164761
435,COX6C,ENSG00000164919
436,ZMAT4,ENSG00000165061
437,CPA6,ENSG00000165078
438,C8orf34,ENSG00000165084
439,ALDH1A1,ENSG00000165092
440,C7orf34,ENSG00000165131
441,CLDN3,ENSG00000165215
442,NLGN4Y,ENSG00000165246
443,CLDN2,ENSG00000165376
444,LRFN5,ENSG00000165379
445,PKNOX2,ENSG00000165495
446,IFI27,ENSG00000165949
447,CACNB2,ENSG00000165995
448,GABRB3,ENSG00000166206
449,PRKCB,ENSG00000166501
450,CLEC3A,ENSG00000166509
451,EVA1C,ENSG00000166979
452,PBX3,ENSG00000167081
453,RBFOX3,ENSG00000167281
454,MVD,ENSG00000167508
455,AQP2,ENSG00000167580
456,SEMA6B,ENSG00000167680
457,KLK11,ENSG00000167757
458,KRT80,ENSG00000167767
459,NLRC3,ENSG00000167984
460,FAM83B,ENSG00000168143
461,XIRP1,ENSG00000168334
462,CMAHP,ENSG00000168405
463,RAB31,ENSG00000168461
464,LDLRAD4,ENSG00000168675
465,LRP1B,ENSG00000168702
466,NPNT,ENSG00000168743
467,FAM178B,ENSG00000168754
468,TET2,ENSG00000168769
469,TSPAN5,ENSG00000168785
470,FSTL5,ENSG00000168843
471,TM4SF20,ENSG00000168955
472,IRS1,ENSG00000169047
473,ROR2,ENSG00000169071
474,CXCL10,ENSG00000169245
475,KCNAB1,ENSG00000169282
476,SCN9A,ENSG00000169432
477,SPRR1B,ENSG00000169469
478,ZEB2,ENSG00000169554
479,NLGN1,ENSG00000169760
480,PCDH7,ENSG00000169851
481,ROBO1,ENSG00000169855
482,CTNND2,ENSG00000169862
483,ZFPM2,ENSG00000169946
484,ZPLD1,ENSG00000170044
485,RNF150,ENSG00000170153
486,CST2,ENSG00000170369
487,CST1,ENSG00000170373
