job_id,phase,model,dataset,seed,artifact_dir,scored_dir,has_checkpoint,has_predictions,has_scored
p1-sciplex-primary-cytobridge_01-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_01-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_01-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_02-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_02-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_02-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_03-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_03-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_03-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_04-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_04-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_04-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_05-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_05-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_05-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_06-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_06-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_06-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_07-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_07-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_07-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_08-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_08-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_08-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_09-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_09-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_09-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_10-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_10-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_10-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_11-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_11-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_11-seed42/scored,False,True,True
p1-sciplex-primary-cytobridge_12-seed42,P1,cytobridge,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_12-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-cytobridge_12-seed42/scored,False,True,True
p1-sciplex-primary-chemcpa_01-seed42,P1,chemcpa,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_01-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_01-seed42/scored,False,True,True
p1-sciplex-primary-chemcpa_02-seed42,P1,chemcpa,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_02-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_02-seed42/scored,False,True,True
p1-sciplex-primary-chemcpa_03-seed42,P1,chemcpa,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_03-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_03-seed42/scored,False,True,True
p1-sciplex-primary-chemcpa_04-seed42,P1,chemcpa,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_04-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_04-seed42/scored,False,True,True
p1-sciplex-primary-chemcpa_05-seed42,P1,chemcpa,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_05-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_05-seed42/scored,False,True,True
p1-sciplex-primary-chemcpa_06-seed42,P1,chemcpa,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_06-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-chemcpa_06-seed42/scored,False,True,True
p1-sciplex-primary-biolord_01-seed42,P1,biolord,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_01-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_01-seed42/scored,False,True,True
p1-sciplex-primary-biolord_02-seed42,P1,biolord,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_02-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_02-seed42/scored,False,True,True
p1-sciplex-primary-biolord_03-seed42,P1,biolord,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_03-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_03-seed42/scored,False,True,True
p1-sciplex-primary-biolord_04-seed42,P1,biolord,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_04-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_04-seed42/scored,False,True,True
p1-sciplex-primary-biolord_05-seed42,P1,biolord,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_05-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_05-seed42/scored,False,True,True
p1-sciplex-primary-biolord_06-seed42,P1,biolord,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_06-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-biolord_06-seed42/scored,False,True,True
p1-sciplex-primary-ridge-grid,P1,ridge,sciplex_drug_disjoint_v2,,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-ridge-grid/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p1-sciplex-primary-ridge-grid/scored,False,True,True
p2-sciplex-primary-cytobridge_full-seed11,P2,cytobridge_full,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed11/scored,True,True,True
p2-sciplex-primary-cytobridge_full-seed23,P2,cytobridge_full,sciplex_drug_disjoint_v2,23.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed23/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed23/scored,True,True,True
p2-sciplex-primary-cytobridge_full-seed42,P2,cytobridge_full,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed42/scored,True,True,True
p2-sciplex-primary-cytobridge_full-seed67,P2,cytobridge_full,sciplex_drug_disjoint_v2,67.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed67/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed67/scored,True,True,True
p2-sciplex-primary-cytobridge_full-seed101,P2,cytobridge_full,sciplex_drug_disjoint_v2,101.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed101/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_full-seed101/scored,True,True,True
p2-sciplex-primary-cytobridge_reconstruction_free-seed11,P2,cytobridge_reconstruction_free,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed11/scored,True,True,True
p2-sciplex-primary-cytobridge_reconstruction_free-seed23,P2,cytobridge_reconstruction_free,sciplex_drug_disjoint_v2,23.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed23/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed23/scored,True,True,True
p2-sciplex-primary-cytobridge_reconstruction_free-seed42,P2,cytobridge_reconstruction_free,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed42/scored,True,True,True
p2-sciplex-primary-cytobridge_reconstruction_free-seed67,P2,cytobridge_reconstruction_free,sciplex_drug_disjoint_v2,67.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed67/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed67/scored,True,True,True
p2-sciplex-primary-cytobridge_reconstruction_free-seed101,P2,cytobridge_reconstruction_free,sciplex_drug_disjoint_v2,101.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed101/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_reconstruction_free-seed101/scored,True,True,True
p2-sciplex-primary-cytobridge_normalized_reconstruction-seed11,P2,cytobridge_normalized_reconstruction,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed11/scored,True,True,True
p2-sciplex-primary-cytobridge_normalized_reconstruction-seed23,P2,cytobridge_normalized_reconstruction,sciplex_drug_disjoint_v2,23.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed23/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed23/scored,True,True,True
p2-sciplex-primary-cytobridge_normalized_reconstruction-seed42,P2,cytobridge_normalized_reconstruction,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed42/scored,True,True,True
p2-sciplex-primary-cytobridge_normalized_reconstruction-seed67,P2,cytobridge_normalized_reconstruction,sciplex_drug_disjoint_v2,67.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed67/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed67/scored,True,True,True
p2-sciplex-primary-cytobridge_normalized_reconstruction-seed101,P2,cytobridge_normalized_reconstruction,sciplex_drug_disjoint_v2,101.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed101/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_normalized_reconstruction-seed101/scored,True,True,True
p2-sciplex-primary-cytobridge_no_pathway_gate-seed11,P2,cytobridge_no_pathway_gate,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed11/scored,True,True,True
p2-sciplex-primary-cytobridge_no_pathway_gate-seed23,P2,cytobridge_no_pathway_gate,sciplex_drug_disjoint_v2,23.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed23/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed23/scored,True,True,True
p2-sciplex-primary-cytobridge_no_pathway_gate-seed42,P2,cytobridge_no_pathway_gate,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed42/scored,True,True,True
p2-sciplex-primary-cytobridge_no_pathway_gate-seed67,P2,cytobridge_no_pathway_gate,sciplex_drug_disjoint_v2,67.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed67/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed67/scored,True,True,True
p2-sciplex-primary-cytobridge_no_pathway_gate-seed101,P2,cytobridge_no_pathway_gate,sciplex_drug_disjoint_v2,101.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed101/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_no_pathway_gate-seed101/scored,True,True,True
p2-sciplex-primary-cytobridge_drug_blind-seed11,P2,cytobridge_drug_blind,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed11/scored,True,True,True
p2-sciplex-primary-cytobridge_drug_blind-seed23,P2,cytobridge_drug_blind,sciplex_drug_disjoint_v2,23.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed23/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed23/scored,True,True,True
p2-sciplex-primary-cytobridge_drug_blind-seed42,P2,cytobridge_drug_blind,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed42/scored,True,True,True
p2-sciplex-primary-cytobridge_drug_blind-seed67,P2,cytobridge_drug_blind,sciplex_drug_disjoint_v2,67.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed67/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed67/scored,True,True,True
p2-sciplex-primary-cytobridge_drug_blind-seed101,P2,cytobridge_drug_blind,sciplex_drug_disjoint_v2,101.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed101/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-cytobridge_drug_blind-seed101/scored,True,True,True
p2-sciplex-primary-chemcpa-seed11,P2,chemcpa,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed11/scored,False,True,True
p2-sciplex-primary-chemcpa-seed23,P2,chemcpa,sciplex_drug_disjoint_v2,23.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed23/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed23/scored,False,True,True
p2-sciplex-primary-chemcpa-seed42,P2,chemcpa,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed42/scored,False,True,True
p2-sciplex-primary-chemcpa-seed67,P2,chemcpa,sciplex_drug_disjoint_v2,67.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed67/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed67/scored,False,True,True
p2-sciplex-primary-chemcpa-seed101,P2,chemcpa,sciplex_drug_disjoint_v2,101.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed101/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-chemcpa-seed101/scored,False,True,True
p2-sciplex-primary-biolord-seed11,P2,biolord,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed11/scored,False,True,True
p2-sciplex-primary-biolord-seed23,P2,biolord,sciplex_drug_disjoint_v2,23.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed23/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed23/scored,False,True,True
p2-sciplex-primary-biolord-seed42,P2,biolord,sciplex_drug_disjoint_v2,42.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed42/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed42/scored,False,True,True
p2-sciplex-primary-biolord-seed67,P2,biolord,sciplex_drug_disjoint_v2,67.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed67/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed67/scored,False,True,True
p2-sciplex-primary-biolord-seed101,P2,biolord,sciplex_drug_disjoint_v2,101.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed101/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-biolord-seed101/scored,False,True,True
p2-sciplex-primary-random-seed11,P2,random,sciplex_drug_disjoint_v2,11.0,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-random-seed11/artifact,/root/autodl-tmp/0accept_revision/experiments/runs/p2-sciplex-primary-random-seed11/scored,False,True,True
