drug,cell_line,split,ipf_reversal_score,gene_reversal_score,delta_mean,delta_std,mechanism,ipf_relevance,rationale
ABT-737,A549,val,-0.0047889923799391285,0.024837903678417206,-0.024837903678417206,0.037623412907123566,Bcl-2/Bcl-xL inhibitor,1,Myofibroblast apoptosis resistance drives IPF. BH3 mimetics show antifibrotic activity.
ABT-737,K562,val,-0.004827293473730716,0.015414034947752953,-0.015414034947752953,0.04982926696538925,Bcl-2/Bcl-xL inhibitor,1,Myofibroblast apoptosis resistance drives IPF. BH3 mimetics show antifibrotic activity.
ABT-737,MCF7,val,-0.004565048778665332,0.020728111267089844,-0.020728111267089844,0.058191198855638504,Bcl-2/Bcl-xL inhibitor,1,Myofibroblast apoptosis resistance drives IPF. BH3 mimetics show antifibrotic activity.
Amisulpride,A549,val,-0.004787372984611627,0.024374503642320633,-0.024374503642320633,0.03334394469857216,D2/D3 antagonist,0,Dopamine antagonist. No known IPF relevance.
Amisulpride,K562,val,-0.004817247768099439,0.017310019582509995,-0.017310019582509995,0.037700146436691284,D2/D3 antagonist,0,Dopamine antagonist. No known IPF relevance.
Amisulpride,MCF7,val,-0.004578509184714823,0.021193575114011765,-0.021193575114011765,0.05132625252008438,D2/D3 antagonist,0,Dopamine antagonist. No known IPF relevance.
SRT1720 HCl,A549,val,-0.004844164392868754,0.024624450132250786,-0.024624450132250786,0.03498898074030876,SIRT1 activator,1,Same target as SRT3025. SIRT1 agonism attenuates fibrosis.
SRT1720 HCl,K562,val,-0.004842916387472985,0.01657961867749691,-0.01657961867749691,0.03864876553416252,SIRT1 activator,1,Same target as SRT3025. SIRT1 agonism attenuates fibrosis.
SRT1720 HCl,MCF7,val,-0.004589568108842278,0.020105021074414253,-0.020105021074414253,0.04831806942820549,SIRT1 activator,1,Same target as SRT3025. SIRT1 agonism attenuates fibrosis.
Sodium Phenylbutyrate,A549,val,-0.00486347760690364,0.023356562480330467,-0.023356562480330467,0.03405036777257919,HDAC inhibitor / chemical chaperone,1,HDAC inhibitors reduce myofibroblast activation and collagen production.
Sodium Phenylbutyrate,K562,val,-0.004911118381243054,0.01696942187845707,-0.01696942187845707,0.0390930213034153,HDAC inhibitor / chemical chaperone,1,HDAC inhibitors reduce myofibroblast activation and collagen production.
Sodium Phenylbutyrate,MCF7,val,-0.004578331593093861,0.019082266837358475,-0.019082266837358475,0.052185311913490295,HDAC inhibitor / chemical chaperone,1,HDAC inhibitors reduce myofibroblast activation and collagen production.
"Temsirolimus (CCI-779, NSC 683864)",A549,val,-0.00477806695226591,0.026922307908535004,-0.026922307908535004,0.03809724748134613,mTOR inhibitor,1,mTOR pathway activated in IPF fibroblasts. Rapamycin reduces fibrosis.
"Temsirolimus (CCI-779, NSC 683864)",K562,val,-0.004756581148005786,0.01744071952998638,-0.01744071952998638,0.04024537280201912,mTOR inhibitor,1,mTOR pathway activated in IPF fibroblasts. Rapamycin reduces fibrosis.
"Temsirolimus (CCI-779, NSC 683864)",MCF7,val,-0.00453475071687622,0.021445177495479584,-0.021445177495479584,0.055548734962940216,mTOR inhibitor,1,mTOR pathway activated in IPF fibroblasts. Rapamycin reduces fibrosis.
Tie2 kinase inhibitor,A549,val,-0.004832512547477829,0.025684043765068054,-0.025684043765068054,0.03946184739470482,Tie2 (TEK) inhibitor,0,Angiopoietin/Tie2 pathway primarily vascular. Limited IPF data.
Tie2 kinase inhibitor,K562,val,-0.004841443295819754,0.016994943842291832,-0.016994943842291832,0.04457912966609001,Tie2 (TEK) inhibitor,0,Angiopoietin/Tie2 pathway primarily vascular. Limited IPF data.
Tie2 kinase inhibitor,MCF7,val,-0.004516119736458529,0.0197611004114151,-0.0197611004114151,0.05386258661746979,Tie2 (TEK) inhibitor,0,Angiopoietin/Tie2 pathway primarily vascular. Limited IPF data.
Vandetanib (ZD6474),A549,val,-0.0047987535297129595,0.02538124844431877,-0.02538124844431877,0.030092034488916397,VEGFR/EGFR inhibitor,2,Same TKI class as nintedanib (approved IPF drug targeting VEGFR/PDGFR/FGFR).
