drug,cell_line,n_samples,pathway_pearson_r
AG-490 (Tyrphostin B42),A549,349,0.9619313478469849
AG-490 (Tyrphostin B42),K562,808,0.8982611894607544
AG-490 (Tyrphostin B42),MCF7,1158,0.9864539504051208
Celecoxib,A549,494,0.9493842720985413
Celecoxib,K562,849,0.8852834701538086
Celecoxib,MCF7,984,0.9871144890785217
Fulvestrant,A549,562,0.9568561911582947
Fulvestrant,K562,866,0.918280303478241
Fulvestrant,MCF7,1251,0.9822772741317749
Ramelteon,A549,618,0.9599549770355225
Ramelteon,K562,963,0.8991714715957642
Ramelteon,MCF7,1095,0.9840074777603149
SL-327,A549,465,0.9549010992050171
SL-327,K562,849,0.8984990119934082
SL-327,MCF7,1173,0.9858254194259644
SRT3025 HCl,A549,1711,0.9698601365089417
SRT3025 HCl,K562,775,0.8857041597366333
SRT3025 HCl,MCF7,1357,0.9865906834602356
Thalidomide,A549,429,0.9612712264060974
Thalidomide,K562,863,0.90821772813797
Thalidomide,MCF7,1247,0.9839507937431335
Tofacitinib (CP-690550) Citrate,A549,381,0.9575947523117065
Tofacitinib (CP-690550) Citrate,K562,864,0.9220203757286072
Tofacitinib (CP-690550) Citrate,MCF7,1321,0.9841952323913574
Zileuton,A549,387,0.9550015926361084
Zileuton,K562,858,0.9017552137374878
Zileuton,MCF7,1133,0.9819600582122803
