pathway,spearman_r,spearman_p,mean_attn,mean_gsea
Glycolysis,0.9096459096459096,4.985602473130869e-11,3.26377625271313e-06,0.22458348616405768
Cholesterol Homeostasis,0.9029304029304028,1.176857974152794e-10,3.7856582140410064e-07,0.08347531173516202
Myogenesis,0.9023199023199022,1.268486591691116e-10,1.8553663689376943e-06,0.2781582447113814
p53 Pathway,0.9017094017094017,1.3665805640941864e-10,5.393824241309626e-06,0.25821714048032407
Androgen Response,0.8956043956043956,2.8054189469837434e-10,1.9277290101942125e-05,0.3305721233288447
KRAS Signaling Dn,0.8949938949938949,3.0072750252729644e-10,1.062863865055215e-05,0.2624523165049376
Epithelial Mesenchymal Transition,0.8937728937728937,3.451233720120554e-10,1.0320339247004552e-06,0.2591191579898198
Apoptosis,0.8882783882783883,6.286552895429863e-10,2.69522211814177e-06,0.25907099964442076
mTORC1 Signaling,0.8864468864468864,7.624887479014198e-10,5.646605842135256e-07,0.22671261760923597
Protein Secretion,0.8827838827838828,1.1108905304639106e-09,1.4457515142316112e-05,0.23779487251131623
Notch Signaling,0.8754578754578756,2.2746102641783637e-09,6.677906513359233e-07,0.1604441970034882
Hedgehog Signaling,0.8742368742368741,2.5520256182626856e-09,7.1190327632391e-06,0.14205800286597675
Pperoxisome,0.8724053724053724,3.026164622480424e-09,1.6484973582444847e-05,0.25000797267313357
Hypoxia,0.8711843711843712,3.3853641185136178e-09,5.516145348120763e-06,0.29095196779127475
UV Response Dn,0.8711843711843712,3.3853641185136178e-09,1.770461096761369e-05,0.3075712063798198
IL-2/STAT5 Signaling,0.8705738705738705,3.579131826765576e-09,9.060891587446431e-06,0.3553173067393126
Angiogenesis,0.8705738705738705,3.579131826765576e-09,2.1054801838892685e-07,0.12353023500354202
Interferon Alpha Response,0.847985347985348,2.3520817122236927e-08,5.032785569865104e-08,0.09607316056887309
PI3K/AKT/mTOR  Signaling,0.8199023199023199,1.6663966654720006e-07,7.3602856336944e-06,0.2480755246899746
Mitotic Spindle,0.8107448107448108,2.9377517068623055e-07,3.260011147337803e-07,0.17937944167190129
KRAS Signaling Up,0.8076923076923076,3.525204464551868e-07,7.31589653744376e-08,0.21619943060256816
heme Metabolism,0.7863247863247863,1.1614615487383451e-06,4.088054141152537e-06,0.13989830982905846
Inflammatory Response,0.7844932844932845,1.2784143225892348e-06,4.24217948032694e-07,0.2718051743728143
UV Response Up,0.7832722832722833,1.3621628036583059e-06,3.047701753403401e-07,0.20098167326715258
Interferon Gamma Response,0.7832722832722833,1.3621628036583059e-06,2.7518594110079153e-07,0.13843967020511627
TGF-beta Signaling,0.7735042735042735,2.2314056231895987e-06,5.662333354618303e-06,0.2116341116251769
Wnt-beta Catenin Signaling,0.771062271062271,2.5149832014145803e-06,1.5809863419810284e-07,0.08651070407143345
IL-6/JAK/STAT3 Signaling,0.7625152625152625,3.7804722609344673e-06,1.528024734632961e-07,0.0888091422341488
Reactive Oxygen Species Pathway,0.7582417582417582,4.60626073993626e-06,3.54916381478483e-05,0.18486099579819926
Coagulation,0.7576312576312576,4.736573776741501e-06,5.546699024128976e-07,0.1923547033910398
Apical Junction,0.7374847374847374,1.1394192509755434e-05,3.7039479399737048e-06,0.2303672432899475
DNA Repair,0.7264957264957265,1.7806920635236504e-05,0.20011271737524283,0.10242297790116733
Allograft Rejection,0.7203907203907204,2.2615941704869394e-05,4.553336614394847e-06,0.18319991092990945
Bile Acid Metabolism,0.7142857142857142,2.854993559063809e-05,2.8601050794087624e-05,0.17688578739762306
Complement,0.713064713064713,2.989074321875667e-05,4.7941693900715935e-08,0.2743871918431035
TNF-alpha Signaling via NF-kB,0.6758241758241758,0.00010937521441739239,3.897297883561609e-07,0.2359418880056452
Adipogenesis,0.673992673992674,0.00011603378645581484,3.0287977315464185e-07,0.0636130044305766
Apical Surface,0.6654456654456654,0.00015207724505853886,3.236129900090788e-05,0.2590272934348495
Fatty Acid Metabolism,0.663003663003663,0.00016404140326014964,1.127503514993788e-05,0.2515298784882934
Xenobiotic Metabolism,0.641025641025641,0.0003149543642849765,4.474521349205913e-05,0.2680739967359437
E2F Targets,0.608058608058608,0.0007664468406313419,1.3276798996412334e-06,0.1749730165357943
Unfolded Protein Response,0.6013431013431013,0.000907913826848679,2.9918033822395855e-06,0.12044944669361468
Estrogen Response Late,0.5757020757020758,0.0016772737607578091,2.172709569095066e-05,0.3410319128522166
Estrogen Response Early,0.532967032967033,0.0042051690029189836,3.144929391570121e-05,0.3685220071563014
Pancreas Beta Cells,0.5280830280830281,0.004636342739224352,0.20138413737401187,0.10049794338367603
Spermatogenesis,0.4792429792429792,0.011429903564704372,0.19743807743129954,0.1330460218919648
Oxidative Phosphorylation,0.37301587301587297,0.055320644037879764,0.19967749177588792,0.10870669588998512
Myc Targets V1,0.0,1.0,2.6556658311031774e-07,0.0
Myc Targets V2,0.0,1.0,2.2665884998592504e-07,0.0
G2-M Checkpoint,-0.6819291819291821,8.95515320829184e-05,0.20103237982726896,0.23372487061553532
