drug_id,cell_line,pearson_top50,spearman_top50,r2_top50,drug_specific_delta_spearman
AG-490 (Tyrphostin B42),A549,0.5036522,0.34536243377142567,-7.2418585543475285,0.19827130852340935
AG-490 (Tyrphostin B42),K562,-0.00083365856,-0.12259303721488594,-8.69002749025466,0.3357022809123649
AG-490 (Tyrphostin B42),MCF7,0.16086303,0.05661464585834333,-5.5038544831833764,0.1807923169267707
Celecoxib,A549,0.6808795,0.6941823335094174,-1.7871899705856507,0.17387755102040817
Celecoxib,K562,0.29019132,0.15409363745498197,-10.790211806008859,-0.1837695078031212
Celecoxib,MCF7,-0.11476024,-0.07505402160864347,-40.79438687031247,0.23860744297719086
Fulvestrant,A549,0.5835677,0.636686674669868,-4.245686020392879,0.2123889555822329
Fulvestrant,K562,0.22824113,0.27577430972388955,-28.410952733152875,0.36403361344537816
Fulvestrant,MCF7,-0.08670524,-0.1065546218487395,-0.7242504499159377,0.11980792316926771
Ramelteon,A549,0.5337261,0.5571668667466987,-6.102655573802302,0.16811524609843936
Ramelteon,K562,0.024254011,-0.03903961584633854,-6.267128342090679,0.39735894357743096
Ramelteon,MCF7,-0.16123827,-0.07860744297719087,-4.561332722856834,0.44240096038415366
SL-327,A549,0.2432122,0.24394343208548974,-18.879553858606148,-0.27183673469387754
SL-327,K562,-0.16307458,-0.10607697666867065,-7.236374437667209,0.09963985594237695
SL-327,MCF7,-0.012263871,-0.032220888355342134,-3.132803161161921,0.1962545018007203
SRT3025 HCl,A549,-0.3192986,-0.07918367346938776,-3.8760534038286334,0.6587755102040818
SRT3025 HCl,K562,0.40145278,0.3648106798333594,-6.609124548222674,0.3146698679471789
SRT3025 HCl,MCF7,0.12687588,-0.00014405762304921967,-15.478546394765413,0.19164465786314525
Thalidomide,A549,0.5652923,0.5116446578631452,-3.539442452395404,0.45575030012004797
Thalidomide,K562,-0.3120395,-0.4718113720384436,-10.057827819480718,0.10665066026410563
Thalidomide,MCF7,-0.037155766,0.0695798319327731,-38.30855132323696,0.20739495798319327
Tofacitinib (CP-690550) Citrate,A549,0.5384416,0.46036014405762304,-7.126431744658564,0.01503001200480192
Tofacitinib (CP-690550) Citrate,K562,-0.21365929,-0.20212255113585842,-10.659201757743784,0.135078031212485
Tofacitinib (CP-690550) Citrate,MCF7,-0.07166763,-0.1321040121392091,-12.535633673966244,0.19289315726290512
Zileuton,A549,0.48937362,0.49723889555822326,-2.877653569196404,0.02857142857142857
Zileuton,K562,0.3130605,0.3452100840336134,-4.228867384170538,0.03250900360144057
Zileuton,MCF7,-0.05655335,-0.21094837935174068,-9.393923209813716,0.02482593037214886
