drug_id,cell_line,pearson_top50,spearman_top50,r2_top50,drug_specific_delta_spearman
AG-490 (Tyrphostin B42),A549,0.2942568,0.2996470504357197,-10.831722906718646,0.3350300120048019
AG-490 (Tyrphostin B42),K562,0.02294471,-0.0003361344537815126,-12.795171716227838,0.3962064825930372
AG-490 (Tyrphostin B42),MCF7,0.15523045,0.09118847539015605,-5.04454434403497,0.4326050420168067
Celecoxib,A549,0.4458908,0.471271819387204,-3.9331973955119732,0.1224969987995198
Celecoxib,K562,0.19116974,-0.03375750300120048,-18.14338027062314,0.1721488595438175
Celecoxib,MCF7,-0.18179232,-0.17128451380552218,-38.72073791316578,0.22698679471788716
Fulvestrant,A549,0.5041776,0.6219927971188475,-6.813045936651086,0.08024009603841536
Fulvestrant,K562,0.4240955,0.4671788715486195,-40.99808564878287,0.26501800720288116
Fulvestrant,MCF7,-0.16469607,-0.16283313325330132,-0.9595163627423247,0.08014405762304923
Ramelteon,A549,0.28769544,0.30698679471788715,-11.059218543126278,0.08945978391356542
Ramelteon,K562,-0.21346669,-0.32254501800720287,-10.221423377266333,0.5084753901560624
Ramelteon,MCF7,0.2980523,0.10376950780312125,-3.3669515045809932,0.4880192076830732
SL-327,A549,0.1801157,0.15659439606905157,-28.72062686288891,-0.20220888355342137
SL-327,K562,-0.106248446,0.05781651421868694,-12.804114974234055,0.3333973589435774
SL-327,MCF7,0.22320098,0.14247298919567825,-2.2408692091333955,-0.07793517406962785
SRT3025 HCl,A549,-0.15949531,-0.07332533013205282,-6.561143364063489,0.6636734693877551
SRT3025 HCl,K562,0.38133982,0.3843549666165866,-10.044037927773944,0.4509483793517407
SRT3025 HCl,MCF7,0.11187954,-0.12451380552220888,-17.26756170729409,0.0803361344537815
Thalidomide,A549,0.4599972,0.4713085234093637,-4.930439023256333,0.4773589435774309
Thalidomide,K562,-0.06818675,-0.028572800647620755,-10.763595638325853,0.531812725090036
Thalidomide,MCF7,0.119685695,0.22919567827130852,-31.844001565106076,0.15342136854741897
Tofacitinib (CP-690550) Citrate,A549,0.30806994,0.3662424969987995,-10.166276043495548,0.1431452581032413
Tofacitinib (CP-690550) Citrate,K562,-0.059295915,0.17158086842680495,-19.580700460524078,0.5188475390156062
Tofacitinib (CP-690550) Citrate,MCF7,-0.37962598,-0.30819467463084116,-12.70443237069335,0.24168067226890755
Zileuton,A549,0.36581722,0.44345738295318127,-4.87407724671232,0.11030012004801922
Zileuton,K562,0.22927725,0.3501080432172869,-7.793892887030644,0.46468187274909956
Zileuton,MCF7,-0.27397442,-0.3204321728691476,-9.016717601210644,0.12153661464585833
