drug,cell_line,pearson_top50,spearman_top50,mse_all
AG-490 (Tyrphostin B42),A549,0.9207284,0.6879711884753901,0.0005448090960271657
AG-490 (Tyrphostin B42),K562,0.19267535,0.20614645858343336,0.00015309962327592075
AG-490 (Tyrphostin B42),MCF7,0.65826106,0.6310204081632652,0.0001339239825028926
Celecoxib,A549,0.96879774,0.898391356542617,0.00016739207785576582
Celecoxib,K562,0.12447114,0.3358943577430972,0.0001649968617130071
Celecoxib,MCF7,0.1130385,-0.00849939975990396,0.0011494086356833577
Fulvestrant,A549,0.55543846,0.4555582232893157,0.00048319101915694773
Fulvestrant,K562,-0.035000227,-0.0968547418967587,0.0001741789310472086
Fulvestrant,MCF7,0.39587557,0.3592316926770708,0.00498215714469552
Ramelteon,A549,0.81207114,0.7374309723889556,0.0005056686932221055
Ramelteon,K562,0.3230285,0.165906362545018,0.00010140304948436096
Ramelteon,MCF7,0.051070865,0.01915966386554622,0.00040944587090052664
SL-327,A549,0.58862364,0.44537815126050423,0.000598245591390878
SL-327,K562,-0.24802586,-0.0757262905162065,0.00020981290435884148
SL-327,MCF7,0.5097319,0.4996398559423769,0.0005111629725433886
SRT3025 HCl,A549,-0.5408067,-0.6375510204081631,0.0009749038727022707
SRT3025 HCl,K562,0.1373742,0.05555822328931572,0.00019879956380464137
SRT3025 HCl,MCF7,0.061513912,0.04182472989195678,0.00031649318407289684
Thalidomide,A549,0.88295305,0.7963985594237694,0.0003558369353413582
Thalidomide,K562,-0.06439895,-0.05315726290516206,9.412192594027147e-05
Thalidomide,MCF7,0.10122092,-0.135078031212485,0.0014789293054491282
Tofacitinib (CP-690550) Citrate,A549,0.9229692,0.8566146458583433,0.0005348529666662216
Tofacitinib (CP-690550) Citrate,K562,0.4512848,0.489171668667467,0.00010422669583931565
Tofacitinib (CP-690550) Citrate,MCF7,0.6008262,0.5648499399759904,0.0001726508344290778
Zileuton,A549,0.9288994,0.9022328931572627,0.0002796506159938872
Zileuton,K562,0.2038203,0.11519807923169266,0.00010677419049898162
Zileuton,MCF7,-0.10107639,-0.15226890756302522,0.0009197493200190365
