drug,cell_line,ridge_spearman,v1_long_spearman,v1_matched_spearman,v2_smoke_spearman,v2_long_spearman
AG-490 (Tyrphostin B42),A549,0.869, -0.075, 0.527, 0.034, 0.398
AG-490 (Tyrphostin B42),K562,0.460, -0.196, -0.237, -0.397, -0.464
AG-490 (Tyrphostin B42),MCF7,0.460, 0.415, 0.503, 0.366, 0.353
Celecoxib,A549,0.940, 0.839, 0.818, 0.463, 0.474
Celecoxib,K562,0.745, 0.288, 0.319, 0.376, 0.390
Celecoxib,MCF7,0.607, 0.220, 0.188, 0.133, 0.152
Fulvestrant,A549,0.720, 0.458, 0.649, 0.478, 0.496
Fulvestrant,K562,-0.235, 0.258, 0.134, -0.227, -0.325
Fulvestrant,MCF7,0.149, 0.178, 0.249, 0.164, 0.219
Ramelteon,A549,-0.174, -0.234, 0.158, -0.039, -0.131
Ramelteon,K562,-0.114, -0.216, -0.111, -0.234, -0.324
Ramelteon,MCF7,0.372, 0.252, 0.375, 0.132, 0.153
SL-327,A549,0.933, 0.405, 0.613, 0.475, 0.518
SL-327,K562,0.730, 0.076, 0.033, -0.190, -0.275
SL-327,MCF7,0.678, 0.304, 0.263, 0.172, 0.218
SRT3025 HCl,A549,0.473, 0.003, -0.073, 0.195, -0.104
SRT3025 HCl,K562,0.826, 0.417, 0.406, 0.332, 0.484
SRT3025 HCl,MCF7,0.376, 0.101, 0.158, 0.269, 0.190
Thalidomide,A549,0.960, 0.835, 0.819, 0.718, 0.732
Thalidomide,K562,0.756, 0.023, -0.002, -0.043, 0.013
Thalidomide,MCF7,0.291, 0.016, -0.293, -0.283, -0.317
Tofacitinib (CP-690550) Citrate,A549,0.939, 0.645, 0.581, 0.346, 0.429
Tofacitinib (CP-690550) Citrate,K562,0.593, 0.018, 0.102, -0.184, -0.248
Tofacitinib (CP-690550) Citrate,MCF7,0.670, 0.526, 0.503, 0.473, 0.505
Zileuton,A549,0.905, 0.459, 0.425, 0.087, 0.306
Zileuton,K562,0.153, -0.225, -0.245, -0.350, -0.312
Zileuton,MCF7,0.186, 0.011, -0.053, -0.191, -0.152
