drug,cell_line,n_samples,pearson_top50,spearman_top50,mse_all
AG-490 (Tyrphostin B42),A549,349,0.8138707280158997,0.7249459783913565,0.015580810606479645
AG-490 (Tyrphostin B42),K562,808,-0.4437045156955719,-0.3212004801920768,0.020981814712285995
AG-490 (Tyrphostin B42),MCF7,1158,0.4519519805908203,0.35145258103241295,0.02031402289867401
Celecoxib,A549,494,0.8482977151870728,0.8581512605042017,0.014671485871076584
Celecoxib,K562,849,0.25334432721138,0.24504201680672266,0.02025676891207695
Celecoxib,MCF7,984,0.5430999398231506,0.2988235294117647,0.018465464934706688
Fulvestrant,A549,562,0.44774380326271057,0.3583673469387755,0.017989948391914368
Fulvestrant,K562,866,0.1562216579914093,0.017046818727490996,0.02102610096335411
Fulvestrant,MCF7,1251,0.1298922747373581,0.09339735894357742,0.026664912700653076
Ramelteon,A549,618,0.5711115598678589,0.41800720288115245,0.014995203353464603
Ramelteon,K562,963,-0.3071167469024658,-0.3040096038415366,0.020499972626566887
Ramelteon,MCF7,1095,0.10836295038461685,0.14477791116446578,0.019536588340997696
SL-327,A549,465,0.5394889116287231,0.40811524609843935,0.018996575847268105
SL-327,K562,849,0.07369818538427353,-0.03692677070828331,0.02114688791334629
SL-327,MCF7,1173,0.11406741291284561,0.07899159663865546,0.02087288163602352
SRT3025 HCl,A549,1711,-0.5806351900100708,-0.6351500600240095,0.017162831500172615
SRT3025 HCl,K562,775,0.28301820158958435,0.424921968787515,0.02219417504966259
SRT3025 HCl,MCF7,1357,0.020815061405301094,0.1660984393757503,0.02137116529047489
Thalidomide,A549,429,0.6195276975631714,0.8139735894357742,0.014450334943830967
Thalidomide,K562,863,0.09017785638570786,0.019543817527010805,0.01975306123495102
Thalidomide,MCF7,1247,0.08613763004541397,0.08292917166866745,0.018796859309077263
Tofacitinib (CP-690550) Citrate,A549,381,0.7301319241523743,0.6274669867947178,0.017151186242699623
Tofacitinib (CP-690550) Citrate,K562,864,0.08085796236991882,0.05901560624249699,0.021517669782042503
Tofacitinib (CP-690550) Citrate,MCF7,1321,0.3996288776397705,0.3833373349339736,0.021242931485176086
Zileuton,A549,387,0.7585235238075256,0.6747178871548619,0.014929660595953465
Zileuton,K562,858,-0.2504534125328064,-0.12278511404561823,0.02077515609562397
Zileuton,MCF7,1133,0.044554002583026886,-0.02799519807923169,0.019206684082746506
