drug,cell_line,n_samples,pearson_top50,spearman_top50,mse_all
AG-490 (Tyrphostin B42),A549,349,-0.08987616002559662,-0.07524609843937576,0.015192887745797634
AG-490 (Tyrphostin B42),K562,808,-0.4005221724510193,-0.196062424969988,0.020581508055329323
AG-490 (Tyrphostin B42),MCF7,1158,0.5157978534698486,0.4152220888355342,0.024404551833868027
Celecoxib,A549,494,0.8164101839065552,0.8394237695078032,0.015534660778939724
Celecoxib,K562,849,0.27254313230514526,0.28758703481392556,0.020910052582621574
Celecoxib,MCF7,984,0.551747739315033,0.2198799519807923,0.02507241815328598
Fulvestrant,A549,562,0.280781090259552,0.45805522208883553,0.01651809923350811
Fulvestrant,K562,866,0.24133875966072083,0.25791116446578627,0.020736081525683403
Fulvestrant,MCF7,1251,0.19286617636680603,0.17791116446578628,0.03218790516257286
Ramelteon,A549,618,-0.2319776862859726,-0.2337094837935174,0.014493743889033794
Ramelteon,K562,963,-0.13521699607372284,-0.21613445378151258,0.02027088776230812
Ramelteon,MCF7,1095,0.21322990953922272,0.2516686674669868,0.024136032909154892
SL-327,A549,465,0.571652889251709,0.40523409363745494,0.0164652056992054
SL-327,K562,849,0.10499631613492966,0.0760144057623049,0.02088751643896103
SL-327,MCF7,1173,0.3003334105014801,0.3037214885954382,0.02457403764128685
SRT3025 HCl,A549,1711,0.235876202583313,0.00312124849939976,0.015032381750643253
SRT3025 HCl,K562,775,0.31100407242774963,0.41733493397358934,0.020972397178411484
SRT3025 HCl,MCF7,1357,-0.05358264222741127,0.10108043217286913,0.025193165987730026
Thalidomide,A549,429,0.5033608675003052,0.8350060024009603,0.015590420924127102
Thalidomide,K562,863,0.10883579403162003,0.023001200480192076,0.02053818851709366
Thalidomide,MCF7,1247,0.04635722562670708,0.01637454981992797,0.02545328252017498
Tofacitinib (CP-690550) Citrate,A549,381,0.7193147540092468,0.6451380552220888,0.01711410842835903
Tofacitinib (CP-690550) Citrate,K562,864,0.04283833131194115,0.0182953181272509,0.0209063570946455
Tofacitinib (CP-690550) Citrate,MCF7,1321,0.4715816378593445,0.5262424969987995,0.02587987296283245
Zileuton,A549,387,0.39200836420059204,0.45949579831932774,0.014743930660188198
Zileuton,K562,858,-0.32404908537864685,-0.22477791116446577,0.02118954434990883
Zileuton,MCF7,1133,0.037661533802747726,0.010516206482593037,0.023801136761903763
