drug,cell_line,n_samples,pearson_top50,spearman_top50,mse_all
AG-490 (Tyrphostin B42),A549,349,0.47621506452560425,0.5272989195678272,0.016007374972105026
AG-490 (Tyrphostin B42),K562,808,-0.38459429144859314,-0.23716686674669865,0.01685371994972229
AG-490 (Tyrphostin B42),MCF7,1158,0.5747747421264648,0.441344537815126,0.01827559620141983
Celecoxib,A549,494,0.7111638188362122,0.7348379351740696,0.015719838440418243
Celecoxib,K562,849,0.27467384934425354,0.2542617046818727,0.016466688364744186
Celecoxib,MCF7,984,0.5039430260658264,0.24388955582232894,0.017082031816244125
Fulvestrant,A549,562,0.45691734552383423,0.4536374549819928,0.01848016306757927
Fulvestrant,K562,866,0.17667484283447266,0.10885954381752701,0.016574058681726456
Fulvestrant,MCF7,1251,0.11497917026281357,0.127875150060024,0.024063577875494957
Ramelteon,A549,618,0.13433286547660828,0.31073229291716686,0.01619630865752697
Ramelteon,K562,963,-0.10588105022907257,-0.2121968787515006,0.01653054542839527
Ramelteon,MCF7,1095,0.18308871984481812,0.24648259303721487,0.018520593643188477
SL-327,A549,465,0.5416728854179382,0.3690276110444177,0.019749963656067848
SL-327,K562,849,0.07014920562505722,0.03279711884753902,0.01748731918632984
SL-327,MCF7,1173,0.2510586082935333,0.26280912364945974,0.019413698464632034
SRT3025 HCl,A549,1711,0.03849204629659653,-0.07294117647058823,0.016021540388464928
SRT3025 HCl,K562,775,0.21503497660160065,0.40561824729891954,0.018115706741809845
SRT3025 HCl,MCF7,1357,-0.08701898157596588,0.15803121248499397,0.01925794780254364
Thalidomide,A549,429,0.7184872627258301,0.8189675870348139,0.016627497971057892
Thalidomide,K562,863,0.09757813811302185,-0.0015846338535414166,0.01643317937850952
Thalidomide,MCF7,1247,-0.1942635327577591,-0.2932533013205282,0.01819756254553795
Tofacitinib (CP-690550) Citrate,A549,381,0.5283085107803345,0.5811764705882353,0.016607049852609634
Tofacitinib (CP-690550) Citrate,K562,864,0.08651268482208252,0.10184873949579833,0.016908908262848854
Tofacitinib (CP-690550) Citrate,MCF7,1321,0.4566785395145416,0.5033853541416566,0.018711352720856667
Zileuton,A549,387,0.4097977578639984,0.42501800720288113,0.016635876148939133
Zileuton,K562,858,-0.29909616708755493,-0.24533013205282111,0.018224205821752548
Zileuton,MCF7,1133,0.053931690752506256,-0.05267707082833133,0.018903305754065514
