drug,cell_line,n_samples,pearson_top50,spearman_top50,mse_all
AG-490 (Tyrphostin B42),A549,349,0.04137894883751869,0.03385354141656663,0.027768664062023163
AG-490 (Tyrphostin B42),K562,808,-0.43592900037765503,-0.3970708283313325,0.0265330970287323
AG-490 (Tyrphostin B42),MCF7,1158,0.466398149728775,0.36643457382953176,0.023838678374886513
Celecoxib,A549,494,0.4354234039783478,0.46295318127250895,0.023604106158018112
Celecoxib,K562,849,0.33777502179145813,0.375750300120048,0.026432380080223083
Celecoxib,MCF7,984,0.3250837028026581,0.13277310924369748,0.02302882820367813
Fulvestrant,A549,562,0.47844627499580383,0.4775510204081632,0.02663233131170273
Fulvestrant,K562,866,-0.1808788925409317,-0.22737094837935176,0.025880780071020126
Fulvestrant,MCF7,1251,0.13066242635250092,0.16417767106842737,0.02704937942326069
Ramelteon,A549,618,-0.10081658512353897,-0.03894357743097239,0.026582084596157074
Ramelteon,K562,963,-0.1427948921918869,-0.2337094837935174,0.02639482170343399
Ramelteon,MCF7,1095,-0.011316373944282532,0.13181272509003603,0.02428075112402439
SL-327,A549,465,0.5250453948974609,0.4745738295318127,0.029693497344851494
SL-327,K562,849,-0.11584119498729706,-0.1897238895558223,0.029183054342865944
SL-327,MCF7,1173,0.14980323612689972,0.17166866746698678,0.024799393489956856
SRT3025 HCl,A549,1711,0.23410655558109283,0.19519807923169266,0.028079615905880928
SRT3025 HCl,K562,775,0.19844608008861542,0.33166866746698676,0.028812400996685028
SRT3025 HCl,MCF7,1357,0.2545574903488159,0.268859543817527,0.02380974404513836
Thalidomide,A549,429,0.7136155962944031,0.718031212484994,0.02563432790338993
Thalidomide,K562,863,0.1112665981054306,-0.042881152460984395,0.026432529091835022
Thalidomide,MCF7,1247,-0.25550106167793274,-0.2828811524609844,0.02461642399430275
Tofacitinib (CP-690550) Citrate,A549,381,0.23156806826591492,0.3460744297719087,0.028335319831967354
Tofacitinib (CP-690550) Citrate,K562,864,-0.16063852608203888,-0.18415366146458584,0.02789819799363613
Tofacitinib (CP-690550) Citrate,MCF7,1321,0.3858667314052582,0.47342136854741895,0.02436898835003376
Zileuton,A549,387,0.01662416197359562,0.08734693877551021,0.028046758845448494
Zileuton,K562,858,-0.3897985816001892,-0.34972388955582234,0.029819419607520103
Zileuton,MCF7,1133,-0.24016785621643066,-0.19116446578631452,0.026008568704128265
