pair_idx,drug,cell_line,k,precision
0,AG-490 (Tyrphostin B42),A549,5,0.19999999999999996
0,AG-490 (Tyrphostin B42),A549,10,0.09999999999999998
0,AG-490 (Tyrphostin B42),A549,20,0.04999999999999999
1,AG-490 (Tyrphostin B42),K562,5,0.19999999999999996
1,AG-490 (Tyrphostin B42),K562,10,0.09999999999999998
1,AG-490 (Tyrphostin B42),K562,20,0.04999999999999999
2,AG-490 (Tyrphostin B42),MCF7,5,0.19999999999999996
2,AG-490 (Tyrphostin B42),MCF7,10,0.09999999999999998
2,AG-490 (Tyrphostin B42),MCF7,20,0.04999999999999999
3,Celecoxib,A549,5,0.19999999999999996
3,Celecoxib,A549,10,0.09999999999999998
3,Celecoxib,A549,20,0.04999999999999999
4,Celecoxib,K562,5,0.19999999999999996
4,Celecoxib,K562,10,0.09999999999999998
4,Celecoxib,K562,20,0.04999999999999999
5,Celecoxib,MCF7,5,0.19999999999999996
5,Celecoxib,MCF7,10,0.09999999999999998
5,Celecoxib,MCF7,20,0.04999999999999999
6,Fulvestrant,A549,5,0.19999999999999996
6,Fulvestrant,A549,10,0.09999999999999998
6,Fulvestrant,A549,20,0.04999999999999999
7,Fulvestrant,K562,5,0.19999999999999996
7,Fulvestrant,K562,10,0.09999999999999998
7,Fulvestrant,K562,20,0.04999999999999999
8,Fulvestrant,MCF7,5,0.19999999999999996
8,Fulvestrant,MCF7,10,0.09999999999999998
8,Fulvestrant,MCF7,20,0.04999999999999999
9,Ramelteon,A549,5,0.19999999999999996
9,Ramelteon,A549,10,0.09999999999999998
9,Ramelteon,A549,20,0.04999999999999999
10,Ramelteon,K562,5,0.19999999999999996
10,Ramelteon,K562,10,0.09999999999999998
10,Ramelteon,K562,20,0.04999999999999999
11,Ramelteon,MCF7,5,0.19999999999999996
11,Ramelteon,MCF7,10,0.09999999999999998
11,Ramelteon,MCF7,20,0.04999999999999999
12,SL-327,A549,5,0.19999999999999996
12,SL-327,A549,10,0.09999999999999998
12,SL-327,A549,20,0.04999999999999999
13,SL-327,K562,5,0.19999999999999996
13,SL-327,K562,10,0.09999999999999998
13,SL-327,K562,20,0.04999999999999999
14,SL-327,MCF7,5,0.19999999999999996
14,SL-327,MCF7,10,0.09999999999999998
14,SL-327,MCF7,20,0.04999999999999999
15,SRT3025 HCl,A549,5,0.19999999999999996
15,SRT3025 HCl,A549,10,0.09999999999999998
15,SRT3025 HCl,A549,20,0.04999999999999999
16,SRT3025 HCl,K562,5,0.19999999999999996
16,SRT3025 HCl,K562,10,0.09999999999999998
16,SRT3025 HCl,K562,20,0.04999999999999999
17,SRT3025 HCl,MCF7,5,0.19999999999999996
17,SRT3025 HCl,MCF7,10,0.09999999999999998
17,SRT3025 HCl,MCF7,20,0.04999999999999999
18,Thalidomide,A549,5,0.19999999999999996
18,Thalidomide,A549,10,0.09999999999999998
18,Thalidomide,A549,20,0.04999999999999999
19,Thalidomide,K562,5,0.19999999999999996
19,Thalidomide,K562,10,0.09999999999999998
19,Thalidomide,K562,20,0.04999999999999999
20,Thalidomide,MCF7,5,0.19999999999999996
20,Thalidomide,MCF7,10,0.09999999999999998
20,Thalidomide,MCF7,20,0.04999999999999999
21,Tofacitinib (CP-690550) Citrate,A549,5,0.19999999999999996
21,Tofacitinib (CP-690550) Citrate,A549,10,0.09999999999999998
21,Tofacitinib (CP-690550) Citrate,A549,20,0.04999999999999999
22,Tofacitinib (CP-690550) Citrate,K562,5,0.19999999999999996
22,Tofacitinib (CP-690550) Citrate,K562,10,0.09999999999999998
22,Tofacitinib (CP-690550) Citrate,K562,20,0.04999999999999999
23,Tofacitinib (CP-690550) Citrate,MCF7,5,0.19999999999999996
23,Tofacitinib (CP-690550) Citrate,MCF7,10,0.09999999999999998
23,Tofacitinib (CP-690550) Citrate,MCF7,20,0.04999999999999999
24,Zileuton,A549,5,0.19999999999999996
24,Zileuton,A549,10,0.09999999999999998
24,Zileuton,A549,20,0.04999999999999999
25,Zileuton,K562,5,0.19999999999999996
25,Zileuton,K562,10,0.09999999999999998
25,Zileuton,K562,20,0.04999999999999999
26,Zileuton,MCF7,5,0.19999999999999996
26,Zileuton,MCF7,10,0.09999999999999998
26,Zileuton,MCF7,20,0.04999999999999999
