drug,cell_line,spearman_r,spearman_p,n_cells
AG-490 (Tyrphostin B42),A549,0.5683209682542857,1.667644342543863e-05,349
AG-490 (Tyrphostin B42),K562,0.013685802784323735,0.9248470803350378,808
AG-490 (Tyrphostin B42),MCF7,0.5496410479626999,3.5622103328182225e-05,1158
Celecoxib,A549,0.5499291701265804,3.521959196390215e-05,494
Celecoxib,K562,0.09844173932583739,0.4964177193099033,849
Celecoxib,MCF7,0.5565079595351851,2.7092472629634842e-05,984
Fulvestrant,A549,0.512185166658235,0.0001433825227198387,562
Fulvestrant,K562,0.06396312038147094,0.6589956116650092,866
Fulvestrant,MCF7,0.5105524743962454,0.0001518029595484063,1251
Ramelteon,A549,0.5393166704236487,5.316304745251088e-05,618
Ramelteon,K562,0.0483565031712772,0.7387728511152584,963
Ramelteon,MCF7,0.5551633894370762,2.8597669075576163e-05,1095
SL-327,A549,0.5185238542636059,0.00011457136751063968,465
SL-327,K562,0.07889745254261017,0.5860088359155788,849
SL-327,MCF7,0.553290595371853,3.082259645136481e-05,1173
SRT3025 HCl,A549,0.5269754377374339,8.436300401848638e-05,1711
SRT3025 HCl,K562,0.04283416169690096,0.7677203753645649,775
SRT3025 HCl,MCF7,0.555211409797723,2.8542613666551242e-05,1357
Thalidomide,A549,0.492400778071774,0.0002809072794002303,429
Thalidomide,K562,0.06818891211838493,0.6379826112345695,863
Thalidomide,MCF7,0.5534826768144399,3.0587284205072234e-05,1247
Tofacitinib (CP-690550) Citrate,A549,0.5514178013066297,3.3205731246700193e-05,381
Tofacitinib (CP-690550) Citrate,K562,0.13426492836831286,0.35257723812419417,864
Tofacitinib (CP-690550) Citrate,MCF7,0.5489687629136455,3.657779054151745e-05,1321
Zileuton,A549,0.5483925185858844,3.741564155763154e-05,387
Zileuton,K562,0.041825734123319205,0.7730418088955464,858
Zileuton,MCF7,0.5639991357960782,1.9959130149190995e-05,1133
