drug_id,cell_line
AG-490 (Tyrphostin B42),A549
AG-490 (Tyrphostin B42),K562
AG-490 (Tyrphostin B42),MCF7
Celecoxib,A549
Celecoxib,K562
Celecoxib,MCF7
Fulvestrant,A549
Fulvestrant,K562
Fulvestrant,MCF7
Ramelteon,A549
Ramelteon,K562
Ramelteon,MCF7
SL-327,A549
SL-327,K562
SL-327,MCF7
SRT3025 HCl,A549
SRT3025 HCl,K562
SRT3025 HCl,MCF7
Thalidomide,A549
Thalidomide,K562
Thalidomide,MCF7
Tofacitinib (CP-690550) Citrate,A549
Tofacitinib (CP-690550) Citrate,K562
Tofacitinib (CP-690550) Citrate,MCF7
Zileuton,A549
Zileuton,K562
Zileuton,MCF7
